x,psi
0,1
0.001,0.99999876629945
0.002,0.999995065201351
0.003,0.999988896714835
0.004,0.999980260855123
0.005,0.999969157643523
0.006,0.99995558710743
0.007,0.999939549280329
0.008,0.999921044201792
0.009,0.999900071917477
0.01,0.999876632479132
0.011,0.999850725944591
0.012,0.999822352377777
0.013,0.999791511848698
0.014,0.999758204433449
0.015,0.999722430214215
0.016,0.999684189279264
0.017,0.999643481722951
0.018,0.999600307645719
0.019,0.999554667154096
0.02,0.999506560360694
0.021,0.999455987384212
0.022,0.999402948349435
0.023,0.999347443387231
0.024,0.999289472634552
0.025,0.999229036234437
0.026,0.999166134336005
0.027,0.99910076709446
0.028,0.999032934671091
0.029,0.998962637233267
0.03,0.998889874954439
0.031,0.998814648014142
0.032,0.998736956597991
0.033,0.998656800897681
0.034,0.998574181110988
0.035,0.998489097441769
0.036,0.998401550099959
0.037,0.998311539301573
0.038,0.998219065268703
0.039,0.99812412822952
0.04,0.998026728418272
0.041,0.997926866075282
0.042,0.997824541446951
0.043,0.997719754785755
0.044,0.997612506350245
0.045,0.997502796405045
0.046,0.997390625220855
0.047,0.997275993074444
0.048,0.997158900248657
0.049,0.997039347032409
0.05,0.996917333720684
0.051,0.99679286061454
0.052,0.9966659280211
0.053,0.996536536253559
0.054,0.996404685631177
0.055,0.996270376479284
0.056,0.996133609129273
0.057,0.995994383918604
0.058,0.995852701190802
0.059,0.995708561295455
0.06,0.995561964588214
0.061,0.995412911430791
0.062,0.99526140219096
0.063,0.995107437242556
0.064,0.994951016965471
0.065,0.994792141745657
0.066,0.994630811975123
0.067,0.994467028051934
0.068,0.99430079038021
0.069,0.994132099370127
0.07,0.993960955437913
0.071,0.993787359005848
0.072,0.993611310502264
0.073,0.993432810361544
0.074,0.993251859024119
0.075,0.993068456936468
0.076,0.992882604551118
0.077,0.992694302326641
0.078,0.992503550727653
0.079,0.992310350224817
0.08,0.992114701294833
0.081,0.991916604420448
0.082,0.991716060090446
0.083,0.991513068799648
0.084,0.991307631048917
0.085,0.99109974734515
0.086,0.990889418201279
0.087,0.990676644136269
0.088,0.990461425675121
0.089,0.990243763348864
0.09,0.990023657694558
0.091,0.989801109255293
0.092,0.989576118580184
0.093,0.989348686224373
0.094,0.989118812749028
0.095,0.988886498721337
0.096,0.988651744714514
0.097,0.98841455130779
0.098,0.988174919086415
0.099,0.98793284864166
0.1,0.987688340570808
0.101,0.98744139547716
0.102,0.987192013970027
0.103,0.986940196664733
0.104,0.986685944182614
0.105,0.986429257151011
0.106,0.986170136203274
0.107,0.985908581978759
0.108,0.985644595122823
0.109,0.98537817628683
0.11,0.98510932612814
0.111,0.984838045310115
0.112,0.984564334502113
0.113,0.984288194379489
0.114,0.98400962562359
0.115,0.983728628921757
0.116,0.983445204967323
0.117,0.983159354459606
0.118,0.982871078103916
0.119,0.982580376611544
0.12,0.982287250699769
0.121,0.981991701091849
0.122,0.981693728517024
0.123,0.981393333710511
0.124,0.981090517413504
0.125,0.980785280373173
0.126,0.980477623342661
0.127,0.980167547081079
0.128,0.97985505235351
0.129,0.979540139931005
0.13,0.979222810590577
0.131,0.978903065115207
0.132,0.978580904293833
0.133,0.978256328921356
0.134,0.977929339798633
0.135,0.977599937732477
0.136,0.977268123535655
0.137,0.976933898026886
0.138,0.976597262030838
0.139,0.976258216378126
0.14,0.975916761905313
0.141,0.975572899454903
0.142,0.975226629875343
0.143,0.974877954021018
0.144,0.974526872752251
0.145,0.9741733869353
0.146,0.973817497442358
0.147,0.973459205151545
0.148,0.973098510946912
0.149,0.972735415718437
0.15,0.97236992036202
0.151,0.972002025779485
0.152,0.971631732878576
0.153,0.971259042572953
0.154,0.970883955782193
0.155,0.970506473431785
0.156,0.970126596453129
0.157,0.969744325783534
0.158,0.969359662366215
0.159,0.96897260715029
0.16,0.96858316109078
0.161,0.968191325148605
0.162,0.967797100290579
0.163,0.967400487489415
0.164,0.967001487723714
0.165,0.966600101977969
0.166,0.96619633124256
0.167,0.96579017651375
0.168,0.965381638793686
0.169,0.964970719090393
0.17,0.964557418417777
0.171,0.964141737795615
0.172,0.963723678249557
0.173,0.963303240811124
0.174,0.962880426517704
0.175,0.962455236412549
0.176,0.962027671544773
0.177,0.96159773296935
0.178,0.961165421747111
0.179,0.96073073894474
0.18,0.960293685634775
0.181,0.9598542628956
0.182,0.959412471811449
0.183,0.958968313472396
0.184,0.958521788974357
0.185,0.958072899419088
0.186,0.95762164591418
0.187,0.957168029573054
0.188,0.956712051514965
0.189,0.956253712864993
0.19,0.955793014754043
0.191,0.955329958318842
0.192,0.954864544701935
0.193,0.954396775051685
